readsite,tagsite,distance_km
gitana,coronado,809.0340478
la_capilla,coronado,858.6501578
las_cuevas,coronado,868.3736226
pinacate,coronado,306.5707388
juxtlahuaca,coronado,1906.371623
navachiste,coronado,659.5061924
atoyac,coronado,1429.188742
mariana,coronado,201.6410295
organ_pipe_1_h2o,coronado,244.2910578
organ_pipe_2_h2o,coronado,259.3245997
organ_pipe_satellite,coronado,253.1627276
organ_pipe_3_h2o,coronado,243.853599
don_panchito,coronado,1408.395239
tucson_1_F,huachuca_2_F,106.9308236
tucson_2_F,huachuca_2_F,91.67361125
tucson_3_F,huachuca_2_F,103.2138679
tucson_4_F,huachuca_2_F,107.3123008
huachuca_1_F,huachuca_2_F,4.114855483
tucson_5_F,huachuca_2_F,116.0643519
tucson_6_F,huachuca_2_F,133.4792521
coronado,huachuca_2_F,10.96670511
huachuca_2_F,huachuca_2_F,0
huachuca_3_F,huachuca_2_F,8.610328301
huachuca_4_F,huachuca_2_F,27.32038305
organ_pipe,huachuca_2_F,245.6838323
rincon,huachuca_2_F,88.72133028
big_hatchet,huachuca_2_F,176.9894399
silver_city_2_F,huachuca_2_F,247.3670623
peloncillo_1_F,huachuca_2_F,126.3515026
silver_city_1_F,huachuca_2_F,241.2785973
silver_city_3_F,huachuca_2_F,239.9389474
fort_huachuca,huachuca_2_F,20.40045812
chiricahua_1_F,huachuca_2_F,106.0594113
chiricahua_2_F,huachuca_2_F,111.8312203
huachuca_5_F,huachuca_2_F,3.664528777
silver_city_4_F,huachuca_2_F,222.776918
cdmx_1_F,huachuca_2_F,1330.407139
cdmx_3_F,huachuca_2_F,1347.058407
cdmx_2_F,huachuca_2_F,1346.539708
azedon,huachuca_2_F,813.7460912
carmen,huachuca_2_F,607.6727179
chivato,huachuca_2_F,820.6385946
gitana,huachuca_2_F,819.9883689
la_capilla,huachuca_2_F,869.567372
las_cuevas,huachuca_2_F,879.2942173
pinacate,huachuca_2_F,305.6688797
juxtlahuaca,huachuca_2_F,1914.79489
navachiste,huachuca_2_F,670.2450629
atoyac,huachuca_2_F,1438.583378
mariana,huachuca_2_F,212.3205416
organ_pipe_1_h2o,huachuca_2_F,241.2920657
organ_pipe_2_h2o,huachuca_2_F,256.4877064
organ_pipe_satellite,huachuca_2_F,250.6764507
organ_pipe_3_h2o,huachuca_2_F,240.6698787
don_panchito,huachuca_2_F,1418.409017
tucson_1_F,huachuca_3_F,115.5401403
tucson_2_F,huachuca_3_F,100.280495
tucson_3_F,huachuca_3_F,111.8185556
tucson_4_F,huachuca_3_F,115.9153675
huachuca_1_F,huachuca_3_F,4.977395862
tucson_5_F,huachuca_3_F,124.4774568
